sentence_id,text,char_len
0,철수가 밥을 먹었다.,11
1,철수는 밥을 먹었다.,11
2,영희가 책을 읽었다.,11
3,영희는 책을 읽었다.,11
4,민수는 학교에 갔다.,11
5,민수는 학교에서 공부했다.,14
6,지민이 연구를 시작했다.,13
7,지민은 연구를 시작했다.,13
8,학생이 질문을 했다.,11
9,학생은 질문을 했다.,11
10,교수가 결과를 설명했다.,13
11,교수는 결과를 설명했다.,13
12,연구원이 반도체 공정을 분석했다.,18
13,연구원은 반도체 공정을 분석했다.,18
14,모델이 문맥을 이해했다.,13
15,모델은 문맥을 이해했다.,13
16,시스템이 오류를 기록했다.,14
17,시스템은 오류를 기록했다.,14
18,책을 읽었다.,7
19,책도 읽었다.,7
20,책만 읽었다.,7
21,학교에 갔다.,7
22,학교에서 공부했다.,10
23,회의에 참석했다.,9
24,회의에서 발표했다.,10
25,데이터를 저장했다.,10
26,데이터도 저장했다.,10
27,데이터만 저장했다.,10
28,나는 오늘 연구실에서 실험을 다시 실행했다.,24
29,나는 오늘 연구실의 실험을 다시 실행했다.,23
30,오늘 아침에 연구실에서 새 실험 결과를 확인했다.,27
31,반도체 공정의 미세한 차이가 전체 수율에 큰 영향을 준다.,32
32,이 모델은 긴 문맥을 유지할 때 불필요한 정보도 함께 끌고 가는 경향이 있다.,43
33,한국어 문장에서 조사는 문법적 관계를 드러내는 중요한 표지다.,34
34,교수님은 다음 주 세미나에서 관련 논문을 소개할 예정이다.,32
35,학생들은 수업 후에 조별 과제 방향을 다시 정리했다.,29
36,실험 로그에는 예상보다 큰 activation 값이 여러 번 나타났다.,39
37,양자화 이후에 일부 문장의 생성 품질이 눈에 띄게 떨어졌다.,33
38,우리는 형태소 분석 결과와 서브워드 토큰을 정렬해서 비교했다.,34
39,모델 내부의 특정 채널은 짧은 기능어에서 유난히 크게 반응했다.,35
40,연구팀은 이상치 채널이 특정 층에서 집중된다는 사실을 발견했다.,35
41,이 결과가 단순한 위치 효과인지 확인하기 위해 추가 통제를 넣었다.,37
42,논문 초록에는 문제 정의와 해결 아이디어가 모두 분명하게 드러나야 한다.,40
43,한국어의 조사 체계는 영어의 전치사와는 다른 방식으로 구조를 표시한다.,39
44,시퀀스 길이가 길어질수록 문맥을 보존하는 부담도 함께 커질 수 있다.,38
45,간단한 통계 검정만으로도 경향이 상당히 뚜렷하게 드러날 수 있다.,36
46,이번 분석은 먼저 관찰 실험으로 시작하고 그다음에 개입 실험으로 넘어간다.,41
47,토큰별 hidden state를 보면 몇몇 위치에서 값이 유난히 튀는 현상이 보인다.,47
48,같은 명사라도 붙는 조사에 따라 모델의 내부 반응이 달라질 수 있다.,38
49,문장 앞부분의 특수 토큰은 종종 attention sink처럼 작동하기도 한다.,44
50,실험 설계가 단단해야 나중에 register token 개입도 설득력을 가진다.,44
51,분석 결과는 표와 그림으로 동시에 보여줘야 해석이 쉬워진다.,33
52,형태소 정렬이 틀리면 조사 효과처럼 보이는 착시가 생길 수 있다.,36
53,우리는 먼저 작은 모델로 경향을 본 뒤 더 큰 모델로 재현성을 확인할 예정이다.,44
54,같은 문장을 여러 양자화 조건에서 비교하면 취약한 위치를 더 잘 볼 수 있다.,43
55,조사와 어미는 둘 다 기능어지만 모델 내부에서는 다르게 작동할 가능성이 있다.,43
56,모델은 반도체 수율 예측 문장에서 기술 용어와 기능어를 서로 다른 방식으로 처리한다.,47
57,이 실험은 한국어의 구조적 특성과 모델 효율화 문제를 함께 다룬다.,37
58,설명력이 높은 그림은 논문의 핵심 주장을 훨씬 직관적으로 전달한다.,37
59,우리는 조사 주변 토큰을 확대해서 local heatmap도 함께 제시했다.,42
60,긴 회의록에서 핵심 주장과 근거를 구분하는 일은 쉽지 않다.,33
61,보고서에는 실험 조건과 한계가 명확하게 포함되어야 한다.,31
62,한국어 기능어는 짧지만 문장 구조를 결정하는 데 큰 역할을 한다.,36
63,토큰화 방식에 따라 조사와 명사가 하나의 서브워드로 묶일 수 있다.,37
64,철수이 책을 읽었다.,11
65,철수이 책을 분석했다.,12
66,철수이 책을 저장했다.,12
67,철수이 책을 설명했다.,12
68,철수이 책를 읽었다.,11
69,철수이 책를 분석했다.,12
70,철수이 책를 저장했다.,12
71,철수이 책를 설명했다.,12
72,철수이 논문을 읽었다.,12
73,철수이 논문을 분석했다.,13
74,철수이 논문을 저장했다.,13
75,철수이 논문을 설명했다.,13
76,철수이 논문를 읽었다.,12
77,철수이 논문를 분석했다.,13
78,철수이 논문를 저장했다.,13
79,철수이 논문를 설명했다.,13
80,철수이 데이터을 읽었다.,13
81,철수이 데이터을 분석했다.,14
82,철수이 데이터을 저장했다.,14
83,철수이 데이터을 설명했다.,14
84,철수이 데이터를 읽었다.,13
85,철수이 데이터를 분석했다.,14
86,철수이 데이터를 저장했다.,14
87,철수이 데이터를 설명했다.,14
88,철수이 결과을 읽었다.,12
89,철수이 결과을 분석했다.,13
90,철수이 결과을 저장했다.,13
91,철수이 결과을 설명했다.,13
92,철수이 결과를 읽었다.,12
93,철수이 결과를 분석했다.,13
94,철수이 결과를 저장했다.,13
95,철수이 결과를 설명했다.,13
96,철수이 질문을 읽었다.,12
97,철수이 질문을 분석했다.,13
98,철수이 질문을 저장했다.,13
99,철수이 질문을 설명했다.,13
100,철수이 질문를 읽었다.,12
101,철수이 질문를 분석했다.,13
102,철수이 질문를 저장했다.,13
103,철수이 질문를 설명했다.,13
104,철수이 반도체 공정을 읽었다.,16
105,철수이 반도체 공정을 분석했다.,17
106,철수이 반도체 공정을 저장했다.,17
107,철수이 반도체 공정을 설명했다.,17
108,철수이 반도체 공정를 읽었다.,16
109,철수이 반도체 공정를 분석했다.,17
110,철수이 반도체 공정를 저장했다.,17
